FIPS_code,Stabr,Area_name,PCTPOVALL_2020
13001,GA,Appling,19.9
13003,GA,Atkinson,21.6
13005,GA,Bacon,21.1
13007,GA,Baker,23.7
13009,GA,Baldwin,22.6
13011,GA,Banks,11.6
13013,GA,Barrow,10.1
13015,GA,Bartow,10.2
13017,GA,Ben Hill,22.3
13019,GA,Berrien,18.9
13021,GA,Bibb,28.0
13023,GA,Bleckley,18.5
13025,GA,Brantley,17.8
13027,GA,Brooks,20.6
13029,GA,Bryan,8.0
13031,GA,Bulloch,20.7
13033,GA,Burke,20.0
13035,GA,Butts,20.8
13037,GA,Calhoun,34.4
13039,GA,Camden,9.4
13043,GA,Candler,20.1
13045,GA,Carroll,16.8
13047,GA,Catoosa,10.1
13049,GA,Charlton,25.5
13051,GA,Chatham,15.6
13053,GA,Chattahoochee,15.6
13055,GA,Chattooga,18.8
13057,GA,Cherokee,6.7
13059,GA,Clarke,24.6
13061,GA,Clay,24.1
13063,GA,Clayton,16.8
13065,GA,Clinch,20.4
13067,GA,Cobb,9.2
13069,GA,Coffee,23.1
13071,GA,Colquitt,20.4
13073,GA,Columbia,6.7
13075,GA,Cook,19.5
13077,GA,Coweta,8.6
13079,GA,Crawford,16.1
13081,GA,Crisp,24.5
13083,GA,Dade,13.0
13085,GA,Dawson,8.7
13087,GA,Decatur,25.6
13089,GA,DeKalb,15.8
13091,GA,Dodge,21.4
13093,GA,Dooly,27.0
13095,GA,Dougherty,27.4
13097,GA,Douglas,11.5
13099,GA,Early,24.0
13101,GA,Echols,20.6
13103,GA,Effingham,8.1
13105,GA,Elbert,23.8
13107,GA,Emanuel,26.4
13109,GA,Evans,19.6
13111,GA,Fannin,15.6
13113,GA,Fayette,5.3
13115,GA,Floyd,18.4
13117,GA,Forsyth,5.1
13119,GA,Franklin,16.3
13121,GA,Fulton,13.0
13123,GA,Gilmer,14.0
13125,GA,Glascock,15.5
13127,GA,Glynn,15.5
13129,GA,Gordon,11.8
13131,GA,Grady,18.7
13133,GA,Greene,15.3
13135,GA,Gwinnett,10.4
13137,GA,Habersham,13.7
13139,GA,Hall,12.7
13141,GA,Hancock,30.7
13143,GA,Haralson,15.5
13145,GA,Harris,9.0
13147,GA,Hart,14.4
13149,GA,Heard,16.4
13151,GA,Henry,8.7
13153,GA,Houston,10.8
13155,GA,Irwin,20.9
13157,GA,Jackson,9.1
13159,GA,Jasper,14.0
13161,GA,Jeff Davis,20.0
13163,GA,Jefferson,21.1
13165,GA,Jenkins,28.0
13167,GA,Johnson,25.9
13169,GA,Jones,11.6
13171,GA,Lamar,13.8
13173,GA,Lanier,19.6
13175,GA,Laurens,20.7
13177,GA,Lee,10.1
13179,GA,Liberty,14.7
13181,GA,Lincoln,16.5
13183,GA,Long,16.7
13185,GA,Lowndes,20.3
13187,GA,Lumpkin,12.5
13189,GA,McDuffie,16.7
13191,GA,McIntosh,19.9
13193,GA,Macon,31.1
13195,GA,Madison,14.5
13197,GA,Marion,20.6
13199,GA,Meriwether,22.1
13201,GA,Miller,19.8
13205,GA,Mitchell,38.2
13207,GA,Monroe,12.8
13209,GA,Montgomery,19.3
13211,GA,Morgan,11.6
13213,GA,Murray,15.9
13215,GA,Muscogee,21.1
13217,GA,Newton,14.4
13219,GA,Oconee,6.0
13221,GA,Oglethorpe,13.4
13223,GA,Paulding,7.3
13225,GA,Peach,19.2
13227,GA,Pickens,10.5
13229,GA,Pierce,16.5
13231,GA,Pike,10.1
13233,GA,Polk,16.3
13235,GA,Pulaski,20.4
13237,GA,Putnam,16.3
13239,GA,Quitman,23.1
13241,GA,Rabun,13.8
13243,GA,Randolph,27.4
13245,GA,Richmond,25.5
13247,GA,Rockdale,12.7
13249,GA,Schley,15.0
13251,GA,Screven,20.7
13253,GA,Seminole,22.9
13255,GA,Spalding,17.9
13257,GA,Stephens,16.9
13259,GA,Stewart,31.3
13261,GA,Sumter,24.3
13263,GA,Talbot,20.8
13265,GA,Taliaferro,23.2
13267,GA,Tattnall,20.7
13269,GA,Taylor,23.2
13271,GA,Telfair,29.9
13273,GA,Terrell,27.8
13275,GA,Thomas,16.2
13277,GA,Tift,20.5
13279,GA,Toombs,22.2
13281,GA,Towns,13.2
13283,GA,Treutlen,23.4
13285,GA,Troup,16.4
13287,GA,Turner,22.2
13289,GA,Twiggs,20.0
13291,GA,Union,12.9
13293,GA,Upson,15.2
13295,GA,Walker,14.1
13297,GA,Walton,11.4
13299,GA,Ware,26.0
13301,GA,Warren,23.4
13303,GA,Washington,21.3
13305,GA,Wayne,19.7
13307,GA,Webster,18.6
13309,GA,Wheeler,35.6
13311,GA,White,12.5
13313,GA,Whitfield,13.0
13315,GA,Wilcox,27.9
13317,GA,Wilkes,20.2
13319,GA,Wilkinson,20.1
13321,GA,Worth,18.2
